level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
3	1	17	1	0	0	457	113	49	1	-1	
4	1	17	1	1	0	457	113	49	1	-1	
5	1	17	1	1	1	457	113	49	1	95	 
2	1	18	0	0	0	444	182	67	10	-1	
3	1	18	1	0	0	444	182	67	10	-1	
4	1	18	1	1	0	444	182	67	10	-1	
5	1	18	1	1	1	444	182	36	10	96	Client
5	1	18	1	1	2	483	182	28	10	92	ABC
2	1	19	0	0	0	444	199	77	10	-1	
3	1	19	1	0	0	444	199	77	10	-1	
4	1	19	1	1	0	444	199	77	10	-1	
5	1	19	1	1	1	435	190	22	28	75	18
5	1	19	1	1	2	456	190	18	28	93	rue
5	1	19	1	1	3	486	199	21	10	89	des
5	1	19	1	1	4	512	199	9	10	68	Ol
2	1	20	0	0	0	524	199	22	10	-1	
3	1	20	1	0	0	524	199	22	10	-1	
4	1	20	1	1	0	524	199	22	10	-1	
5	1	20	1	1	1	524	199	22	10	95	 
2	1	21	0	0	0	548	202	11	7	-1	
3	1	21	1	0	0	548	202	11	7	-1	
4	1	21	1	1	0	548	202	11	7	-1	
5	1	21	1	1	1	548	202	11	7	80	rs
2	1	22	0	0	0	444	216	121	12	-1	
3	1	22	1	0	0	444	216	121	12	-1	
4	1	22	1	1	0	444	216	121	12	-1	
5	1	22	1	1	1	444	216	35	10	92	75008
5	1	22	1	1	2	484	216	34	12	96	Paris,
5	1	22	1	1	3	523	216	42	10	96	France
2	1	23	0	0	0	394	328	39	10	-1	
3	1	23	1	0	0	394	328	39	10	-1	
4	1	23	1	1	0	394	328	39	10	-1	
5	1	23	1	1	1	394	328	39	10	61	PUHT
2	1	24	0	0	0	408	381	38	56	-1	
3	1	24	1	0	0	408	381	38	56	-1	
4	1	24	1	1	0	415	381	31	12	-1	
5	1	24	1	1	1	415	381	31	12	92	10,00
4	1	24	1	2	0	415	403	31	12	-1	
5	1	24	1	2	1	415	403	31	12	87	15,00
4	1	24	1	3	0	408	425	38	12	-1	
5	1	24	1	3	1	408	425	38	12	94	150,00
2	1	25	0	0	0	408	491	38	34	-1	
3	1	25	1	0	0	408	491	38	34	-1	
4	1	25	1	1	0	414	491	32	12	-1	
5	1	25	1	1	1	414	491	32	12	90	20,00
4	1	25	1	2	0	408	513	38	12	-1	
5	1	25	1	2	1	408	513	38	12	94	150,00
2	1	26	0	0	0	412	557	34	52	-1	
3	1	26	1	0	0	412	557	34	52	-1	
4	1	26	1	1	0	412	557	30	10	-1	
5	1	26	1	1	1	412	557	30	10	96	Total:
4	1	26	1	2	0	422	578	24	10	-1	
5	1	26	1	2	1	422	578	24	10	94	TVA
4	1	26	1	3	0	422	599	24	10	-1	
5	1	26	1	3	1	422	599	24	10	94	TVA
2	1	27	0	0	0	495	381	39	78	-1	
3	1	27	1	0	0	502	381	32	12	-1	
4	1	27	1	1	0	502	381	32	12	-1	
5	1	27	1	1	1	502	381	32	12	72	40,00
3	1	27	2	0	0	495	403	39	56	-1	
4	1	27	2	1	0	503	403	31	12	-1	
5	1	27	2	1	1	503	403	31	12	95	30,00
4	1	27	2	2	0	495	425	39	12	-1	
5	1	27	2	2	1	495	425	39	12	89	750,00
4	1	27	2	3	0	495	447	39	12	-1	
5	1	27	2	3	1	495	447	39	12	90	820,00
2	1	28	0	0	0	485	491	49	120	-1	
3	1	28	1	0	0	495	491	39	56	-1	
4	1	28	1	1	0	502	491	32	12	-1	
5	1	28	1	1	1	502	491	32	12	91	60,00
4	1	28	1	2	0	495	513	39	12	-1	
5	1	28	1	2	1	495	513	39	12	83	300,00
4	1	28	1	3	0	495	535	39	12	-1	
5	1	28	1	3	1	495	535	39	12	73	360,00
3	1	28	2	0	0	485	557	49	33	-1	
4	1	28	2	1	0	485	557	49	12	-1	
5	1	28	2	1	1	485	557	4	10	35	1
5	1	28	2	1	2	496	557	38	12	35	180,00
4	1	28	2	2	0	496	578	38	12	-1	
5	1	28	2	2	1	496	578	38	12	90	130,00
3	1	28	3	0	0	485	599	49	12	-1	
4	1	28	3	1	0	485	599	49	12	-1	
5	1	28	3	1	1	485	599	49	12	0	1050,00
2	1	29	0	0	0	291	866	227	8	-1	
3	1	29	1	0	0	291	866	227	8	-1	
4	1	29	1	1	0	291	866	227	8	-1	
5	1	29	1	1	1	291	866	33	8	85	FIDEL|,
5	1	29	1	1	2	327	866	11	7	93	32
5	1	29	1	1	3	341	866	18	7	95	Rue
5	1	29	1	1	4	362	866	10	7	96	du
5	1	29	1	1	5	375	868	46	5	84	commerce,
5	1	29	1	1	6	427	866	27	7	67	78022
5	1	29	1	1	7	457	866	22	7	73	Paris
5	1	29	1	1	8	482	866	36	8	75	CEDEX
2	1	30	0	0	0	470	328	105	10	-1	
3	1	30	1	0	0	470	328	105	10	-1	
4	1	30	1	1	0	470	328	105	10	-1	
5	1	30	1	1	1	470	328	30	10	29	Total
5	1	30	1	1	2	505	328	17	10	29	HT
5	1	30	1	1	3	526	319	20	28	35	=
5	1	30	1	1	4	550	328	25	10	48	TVA
2	1	31	0	0	0	546	320	123	354	-1	
3	1	31	1	0	0	554	320	115	354	-1	
4	1	31	1	1	0	605	320	51	10	-1	
5	1	31	1	1	1	605	320	51	10	78	Montant
4	1	31	1	2	0	617	337	26	10	-1	
5	1	31	1	2	1	617	337	26	10	74	TVA
4	1	31	1	3	0	554	381	115	12	-1	
5	1	31	1	3	1	554	381	22	10	92	20%
5	1	31	1	3	2	645	381	24	12	72	8,00
4	1	31	1	4	0	554	403	115	12	-1	
5	1	31	1	4	1	554	403	22	10	92	20%
5	1	31	1	4	2	645	403	24	12	77	6.00
4	1	31	1	5	0	546	416	123	28	-1	
5	1	31	1	5	1	546	416	33	28	96	10%
5	1	31	1	5	2	637	425	32	12	85	75,00
4	1	31	1	6	0	637	447	32	12	-1	
5	1	31	1	6	1	637	447	32	12	81	89,00
4	1	31	1	7	0	554	491	115	12	-1	
5	1	31	1	7	1	554	491	22	10	92	20%
5	1	31	1	7	2	638	491	31	12	87	12,00
4	1	31	1	8	0	546	504	123	28	-1	
5	1	31	1	8	1	546	504	33	28	96	10%
5	1	31	1	8	2	638	513	31	12	96	30,00
4	1	31	1	9	0	637	535	32	12	-1	
5	1	31	1	9	1	637	535	32	12	83	42,00
4	1	31	1	10	0	631	557	38	12	-1	
5	1	31	1	10	1	631	557	38	12	92	131,00
4	1	31	1	11	0	554	578	115	12	-1	
5	1	31	1	11	1	554	578	22	10	90	20%
5	1	31	1	11	2	637	578	32	12	85	26,00
4	1	31	1	12	0	546	590	123	28	-1	
5	1	31	1	12	1	546	590	29	28	96	10%
5	1	31	1	12	2	631	599	38	12	91	105,00
4	1	31	1	13	0	608	626	50	10	-1	
5	1	31	1	13	1	608	626	29	10	96	Total
5	1	31	1	13	2	642	626	16	10	91	HT
4	1	31	1	14	0	580	645	78	10	-1	
5	1	31	1	14	1	580	645	50	10	92	Montant
5	1	31	1	14	2	634	645	24	10	75	TVA
4	1	31	1	15	0	600	664	58	10	-1	
5	1	31	1	15	1	600	664	29	10	96	Total
5	1	31	1	15	2	633	664	25	10	92	TTC
2	1	32	0	0	0	517	63	223	27	-1	
3	1	32	1	0	0	517	63	223	27	-1	
4	1	32	1	1	0	517	63	223	27	-1	
5	1	32	1	1	1	517	63	223	27	88	VosFactures.fr
2	1	33	0	0	0	522	99	208	13	-1	
3	1	33	1	0	0	522	99	208	13	-1	
4	1	33	1	1	0	522	99	208	13	-1	
5	1	33	1	1	1	522	99	49	13	88	Logiciel
5	1	33	1	1	2	577	99	15	11	93	de
5	1	33	1	1	3	598	99	74	11	91	facturation
5	1	33	1	1	4	678	102	15	8	91	en
5	1	33	1	1	5	699	99	31	13	96	ligne
2	1	34	0	0	0	694	328	59	10	-1	
3	1	34	1	0	0	694	328	59	10	-1	
4	1	34	1	1	0	694	328	59	10	-1	
5	1	34	1	1	1	694	328	30	10	96	Total
5	1	34	1	1	2	728	328	25	10	94	TTC
2	1	35	0	0	0	728	381	39	78	-1	
3	1	35	1	0	0	735	381	32	12	-1	
4	1	35	1	1	0	735	381	32	12	-1	
5	1	35	1	1	1	735	381	32	12	76	48,00
3	1	35	2	0	0	728	403	39	56	-1	
4	1	35	2	1	0	736	403	31	12	-1	
5	1	35	2	1	1	736	403	31	12	93	36,00
4	1	35	2	2	0	728	425	39	12	-1	
5	1	35	2	2	1	728	425	39	12	89	825,00
4	1	35	2	3	0	728	447	39	12	-1	
5	1	35	2	3	1	728	447	39	12	81	909,00
2	1	36	0	0	0	708	491	61	147	-1	
3	1	36	1	0	0	728	491	39	56	-1	
4	1	36	1	1	0	735	491	32	12	-1	
5	1	36	1	1	1	735	491	32	12	83	72,00
4	1	36	1	2	0	728	513	39	12	-1	
5	1	36	1	2	1	728	513	39	12	77	330,00
4	1	36	1	3	0	728	535	39	12	-1	
5	1	36	1	3	1	728	535	39	12	83	402,00
3	1	36	2	0	0	719	557	48	33	-1	
4	1	36	2	1	0	719	557	48	12	-1	
5	1	36	2	1	1	719	557	48	12	63	1311,00
4	1	36	2	2	0	729	578	38	12	-1	
5	1	36	2	2	1	729	578	38	12	93	156,00
3	1	36	3	0	0	708	599	61	39	-1	
4	1	36	3	1	0	718	599	49	12	-1	
5	1	36	3	1	1	718	599	4	10	15	1
5	1	36	3	1	2	729	599	38	12	15	155,00
4	1	36	3	2	0	708	626	61	12	-1	
5	1	36	3	2	1	708	626	4	10	29	1
5	1	36	3	2	2	719	626	50	12	29	180,00€
2	1	37	0	0	0	709	645	60	31	-1	
3	1	37	1	0	0	709	645	60	31	-1	
4	1	37	1	1	0	719	645	50	12	-1	
5	1	37	1	1	1	719	645	50	12	70	131,00€
4	1	37	1	2	0	709	664	60	12	-1	
5	1	37	1	2	1	709	664	60	12	83	1311,00€
2	1	38	0	0	0	10	912	794	8	-1	
3	1	38	1	0	0	10	912	794	8	-1	
4	1	38	1	1	0	10	912	794	8	-1	
5	1	38	1	1	1	10	912	794	8	95	 
2	1	39	0	0	0	799	7	10	910	-1	
3	1	39	1	0	0	799	7	10	910	-1	
4	1	39	1	1	0	799	7	10	910	-1	
5	1	39	1	1	1	799	7	10	910	95	 
